3.018519799811902535e-02,1.302589650568588275e-01,2.412754410671813510e-01,3.018519799811902535e-02,1.305279273554844910e-01,3.018519799811902535e-02,2.901229678561399350e+00,1.624847644730248897e+00,2.075356793724841276e-01,1.271672863841704082e+00,1.177313216134985074e+00,3.446249714992228874e+00,1.408652686092141670e-01,2.150080551613160196e-01,3.018519799811902535e-02,9.186965895842864605e-01
2.640198651568810909e-02,1.186711738072487032e-01,1.483666169927288780e-01,2.640198651568810909e-02,4.831988260369987631e-01,2.640198651568810909e-02,4.140908860201525932e-01,1.969759485063241833e+00,2.359766282624078670e-01,5.085019717298219222e-01,1.363261741036134733e+00,1.574251374117195068e+00,5.331093018907432368e-01,2.675321891892578630e-01,2.640198651568810909e-02,3.747410549652750333e+00
2.413957238662020263e-02,2.337427864088298390e-01,2.806334143318165997e-01,2.413957238662020263e-02,2.951529689110186649e-01,2.413957238662020263e-02,4.737712862526139435e-01,1.719526366879441159e+00,1.866878439388663657e-01,3.936419559302351545e-01,1.193952382287267078e+00,1.417502855158732977e+00,3.538020967960385232e-01,2.232429012568361293e-01,2.413957238662020263e-02,3.138557292745352445e+00
2.090384795139996546e-02,6.363895325340251929e-01,4.734381156020366910e-01,2.090384795139996546e-02,2.672924717342919365e-01,2.090384795139996546e-02,6.457455263927126543e-01,1.719054445269299736e+00,1.045565092170939459e-01,3.688920806034280964e-01,1.169440928477592401e+00,1.114458404396767577e+00,3.304916280671799655e-01,1.453884108683450027e-01,2.090384795139996546e-02,2.768386832365981931e+00
2.199979245596347249e-02,7.189315239898430576e-01,1.913248646471524372e+00,2.199979245596347249e-02,4.860634578110138021e-02,2.199979245596347249e-02,1.438565865019275636e+00,2.013099628841167110e+00,1.238471172470917980e-01,2.129846830524647627e-01,1.365982928465729662e+00,1.266037788126542107e+00,1.198195965456625711e-01,1.781466657074730342e-01,2.199979245596347249e-02,9.700356152749759486e-01
2.288608734013573842e-02,6.869249791710169140e-01,2.165439901614525819e+00,2.288608734013573842e-02,4.383084002103439236e-02,2.288608734013573842e-02,1.524271045189525386e+00,2.296980173004211423e+00,1.470564333465779194e-01,2.079616644413785909e-01,1.565038170512071503e+00,1.270365031505285680e+00,1.208224603220448973e-01,2.091068933913802219e-01,2.288608734013573842e-02,1.076068135407592941e+00
2.102485265029536629e-02,7.641227305684459292e-01,1.781032116667976783e+00,2.102485265029536629e-02,6.131410989506882320e-02,2.102485265029536629e-02,1.539813445455842977e+00,1.940624209734100880e+00,1.105035090497937245e-01,2.690523229592980958e-01,1.322211786475117945e+00,1.439593077555688438e+00,1.218985046366318492e-01,1.565795306601868719e-01,2.102485265029536629e-02,9.426535680489180891e-01
1.994373547340759500e-02,1.281119964336066563e-01,2.233068375933984218e+00,1.994373547340759500e-02,4.644811645527633509e-02,1.994373547340759500e-02,1.330630736371532619e+00,2.627988598287331889e+00,1.701419778098508251e-01,1.821702490019196929e-01,1.846583172318394084e+00,8.768126445909312228e-01,8.949642885729419683e-02,2.393103455588467265e-01,1.994373547340759500e-02,1.095716807270038728e+00
1.891435708373693375e-02,1.894733080165965367e-01,3.323179488076583032e-01,1.891435708373693375e-02,6.968282185299240483e-02,1.891435708373693375e-02,1.840097632008883100e+00,1.065805570089439769e+00,1.202378499126851297e-01,7.948017632469024374e-01,7.721582844981055294e-01,2.163584259495070050e+00,7.972705177542642463e-02,1.311996519199763456e-01,1.891435708373693375e-02,6.193131850067592481e-01
1.781663784861771752e-02,2.054487171340572682e-01,1.982053042051368508e-01,1.781663784861771752e-02,2.710966148519938224e-01,1.781663784861771752e-02,4.192028642757414381e-01,1.328130571066871157e+00,1.373467492418521119e-01,3.624676246803547608e-01,9.200306593698747148e-01,1.207028649813890020e+00,3.252352961213515470e-01,1.694105337128788413e-01,1.781663784861771752e-02,2.464017168222547571e+00
